
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , single amp , ini learningRate = 1.000000e-02 , min batch size = 200 , DropPeriod = 12 , DropFactor = 0.100000  v4 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |         0.10 |         0.12 |       0.0048 |       0.0074 |          0.0100 |
|       1 |           4 |       00:00:03 |         0.06 |         0.06 |       0.0019 |       0.0015 |          0.0100 |
|       2 |           8 |       00:00:04 |         0.05 |         0.05 |       0.0014 |       0.0012 |          0.0100 |
|       3 |          12 |       00:00:04 |         0.04 |         0.03 |       0.0007 |       0.0006 |          0.0100 |
|       4 |          16 |       00:00:05 |         0.03 |         0.03 |       0.0004 |       0.0003 |          0.0100 |
|       5 |          20 |       00:00:06 |         0.02 |         0.02 |       0.0003 |       0.0002 |          0.0100 |
|       6 |          24 |       00:00:07 |         0.02 |         0.02 |       0.0001 |       0.0002 |          0.0100 |
|       7 |          28 |       00:00:08 |         0.01 |         0.01 |       0.0001 |       0.0001 |          0.0100 |
|       8 |          32 |       00:00:09 |         0.01 |         0.01 |   9.5243e-05 |   8.6468e-05 |          0.0100 |
|       9 |          36 |       00:00:10 |         0.01 |         0.01 |   7.3927e-05 |   6.8380e-05 |          0.0100 |
|      10 |          40 |       00:00:11 |         0.01 |         0.01 |   6.1620e-05 |   6.9571e-05 |          0.0100 |
|      11 |          44 |       00:00:12 |         0.01 |         0.01 |   6.0868e-05 |   5.5747e-05 |          0.0100 |
|      12 |          48 |       00:00:12 |         0.01 |     9.89e-03 |   5.6123e-05 |   4.8858e-05 |          0.0100 |
|      13 |          50 |       00:00:13 |     9.80e-03 |              |   4.8044e-05 |              |          0.0010 |
|      13 |          52 |       00:00:13 |     9.45e-03 |     9.49e-03 |   4.4633e-05 |   4.5033e-05 |          0.0010 |
|      14 |          56 |       00:00:14 |     9.29e-03 |     9.30e-03 |   4.3171e-05 |   4.3219e-05 |          0.0010 |
