
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 6 , DropFactor = 0.100000 
>> Hidden Units = 60 , v2 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      10 |         550 |       00:03:11 |         0.06 |              |       0.0019 |              |          0.0010 |
|      10 |         560 |       00:03:15 |         0.06 |     8.94e-03 |       0.0020 |   3.9949e-05 |          0.0010 |
|      11 |         574 |       00:03:20 |         0.07 |     9.02e-03 |       0.0021 |   4.0647e-05 |          0.0010 |
|      11 |         588 |       00:03:25 |         0.06 |     9.42e-03 |       0.0021 |   4.4346e-05 |          0.0010 |
|      11 |         600 |       00:03:29 |         0.06 |              |       0.0020 |              |          0.0010 |
|      11 |         602 |       00:03:29 |         0.06 |         0.01 |       0.0020 |   5.8085e-05 |          0.0010 |
|      11 |         616 |       00:03:34 |         0.06 |     8.85e-03 |       0.0020 |   3.9119e-05 |          0.0010 |
|      12 |         630 |       00:03:39 |         0.06 |     9.70e-03 |       0.0020 |   4.7031e-05 |          0.0010 |
|      12 |         644 |       00:03:44 |         0.06 |     9.48e-03 |       0.0020 |   4.4962e-05 |          0.0010 |
|      12 |         650 |       00:03:46 |         0.06 |              |       0.0021 |              |          0.0010 |
|      12 |         658 |       00:03:49 |         0.06 |     8.34e-03 |       0.0019 |   3.4743e-05 |          0.0010 |
|      12 |         672 |       00:03:54 |         0.06 |     8.05e-03 |       0.0020 |   3.2380e-05 |          0.0010 |
|      13 |         686 |       00:03:59 |         0.06 |     8.62e-03 |       0.0020 |   3.7143e-05 |      1.0000e-04 |
|      13 |         700 |       00:04:03 |         0.06 |     8.28e-03 |       0.0021 |   3.4291e-05 |      1.0000e-04 |
|      13 |         714 |       00:04:08 |         0.06 |     8.26e-03 |       0.0021 |   3.4120e-05 |      1.0000e-04 |
|      13 |         728 |       00:04:13 |         0.06 |     8.20e-03 |       0.0018 |   3.3610e-05 |      1.0000e-04 |
|      14 |         742 |       00:04:18 |         0.06 |     8.23e-03 |       0.0020 |   3.3830e-05 |      1.0000e-04 |
|      14 |         750 |       00:04:21 |         0.06 |              |       0.0018 |              |      1.0000e-04 |
|      14 |         756 |       00:04:23 |         0.06 |     8.37e-03 |       0.0019 |   3.4997e-05 |      1.0000e-04 |
|      14 |         770 |       00:04:27 |         0.06 |     8.12e-03 |       0.0019 |   3.2997e-05 |      1.0000e-04 |
|      14 |         784 |       00:04:32 |         0.06 |     8.25e-03 |       0.0018 |   3.4024e-05 |      1.0000e-04 |
|      15 |         798 |       00:04:37 |         0.06 |     8.20e-03 |       0.0020 |   3.3628e-05 |      1.0000e-04 |
|      15 |         800 |       00:04:38 |         0.06 |              |       0.0020 |              |      1.0000e-04 |
|      15 |         812 |       00:04:42 |         0.06 |     8.16e-03 |       0.0018 |   3.3323e-05 |      1.0000e-04 |
|      15 |         826 |       00:04:46 |         0.06 |     8.22e-03 |       0.0021 |   3.3798e-05 |      1.0000e-04 |
|      15 |         840 |       00:04:51 |         0.06 |     8.21e-03 |       0.0020 |   3.3676e-05 |      1.0000e-04 |
|      16 |         850 |       00:04:55 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      16 |         854 |       00:04:56 |         0.06 |     8.15e-03 |       0.0019 |   3.3201e-05 |      1.0000e-04 |
|      16 |         868 |       00:05:01 |         0.06 |     8.07e-03 |       0.0019 |   3.2553e-05 |      1.0000e-04 |
|      16 |         882 |       00:05:06 |         0.06 |     8.27e-03 |       0.0019 |   3.4235e-05 |      1.0000e-04 |
|      16 |         896 |       00:05:11 |         0.06 |     8.42e-03 |       0.0020 |   3.5486e-05 |      1.0000e-04 |
|      17 |         900 |       00:05:12 |         0.06 |              |       0.0021 |              |      1.0000e-04 |
|      17 |         910 |       00:05:16 |         0.06 |     8.18e-03 |       0.0019 |   3.3486e-05 |      1.0000e-04 |
|      17 |         924 |       00:05:21 |         0.06 |     8.23e-03 |       0.0020 |   3.3853e-05 |      1.0000e-04 |
|      17 |         938 |       00:05:25 |         0.06 |     8.17e-03 |       0.0018 |   3.3406e-05 |      1.0000e-04 |
|      17 |         950 |       00:05:30 |         0.06 |              |       0.0018 |              |      1.0000e-04 |
|      17 |         952 |       00:05:30 |         0.07 |     8.17e-03 |       0.0022 |   3.3408e-05 |      1.0000e-04 |
|      18 |         966 |       00:05:35 |         0.06 |     8.33e-03 |       0.0019 |   3.4712e-05 |      1.0000e-04 |
|      18 |         980 |       00:05:40 |         0.06 |     8.24e-03 |       0.0020 |   3.3974e-05 |      1.0000e-04 |
|      18 |         994 |       00:05:45 |         0.07 |     8.08e-03 |       0.0022 |   3.2627e-05 |      1.0000e-04 |
|      18 |        1000 |       00:05:47 |         0.06 |              |       0.0020 |              |      1.0000e-04 |
|      18 |        1008 |       00:05:50 |         0.06 |     8.18e-03 |       0.0019 |   3.3438e-05 |      1.0000e-04 |
|      19 |        1022 |       00:05:55 |         0.06 |     8.16e-03 |       0.0019 |   3.3314e-05 |      1.0000e-05 |
|      19 |        1036 |       00:06:00 |         0.06 |     8.13e-03 |       0.0019 |   3.3074e-05 |      1.0000e-05 |
|      19 |        1050 |       00:06:04 |         0.06 |     8.12e-03 |       0.0020 |   3.3001e-05 |      1.0000e-05 |
|      19 |        1064 |       00:06:09 |         0.06 |     8.17e-03 |       0.0020 |   3.3350e-05 |      1.0000e-05 |
|      20 |        1078 |       00:06:14 |         0.06 |     8.16e-03 |       0.0018 |   3.3327e-05 |      1.0000e-05 |
|      20 |        1092 |       00:06:19 |         0.06 |     8.12e-03 |       0.0019 |   3.2965e-05 |      1.0000e-05 |
|======================================================================================================================|
Training finished: Met validation criterion.
already training 1 times 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |         1.54 |         0.85 |       1.1911 |       0.3591 |          0.0100 |
|       1 |          14 |       00:00:05 |         0.38 |         0.20 |       0.0706 |       0.0199 |          0.0100 |
|       1 |          28 |       00:00:09 |         0.17 |         0.09 |       0.0143 |       0.0037 |          0.0100 |
|       1 |          42 |       00:00:14 |         0.14 |         0.11 |       0.0095 |       0.0057 |          0.0100 |
|       1 |          50 |       00:00:17 |         0.10 |              |       0.0049 |              |          0.0100 |
|       1 |          56 |       00:00:19 |         0.10 |         0.09 |       0.0045 |       0.0040 |          0.0100 |
|       2 |          70 |       00:00:24 |         0.10 |         0.05 |       0.0050 |       0.0013 |          0.0100 |
|       2 |          84 |       00:00:28 |         0.12 |         0.08 |       0.0075 |       0.0033 |          0.0100 |
|       2 |          98 |       00:00:33 |         0.10 |         0.05 |       0.0045 |       0.0014 |          0.0100 |
|       2 |         100 |       00:00:34 |         0.10 |              |       0.0046 |              |          0.0100 |
|       2 |         112 |       00:00:38 |         0.09 |         0.04 |       0.0041 |       0.0008 |          0.0100 |
|       3 |         126 |       00:00:43 |         0.09 |         0.04 |       0.0038 |       0.0009 |          0.0100 |
|       3 |         140 |       00:00:48 |         0.08 |         0.04 |       0.0035 |       0.0008 |          0.0100 |
|       3 |         150 |       00:00:51 |         0.08 |              |       0.0034 |              |          0.0100 |
|       3 |         154 |       00:00:53 |         0.08 |         0.03 |       0.0034 |       0.0005 |          0.0100 |
|       3 |         168 |       00:00:57 |         0.08 |         0.04 |       0.0034 |       0.0007 |          0.0100 |
|       4 |         182 |       00:01:02 |         0.08 |         0.03 |       0.0033 |       0.0006 |          0.0100 |
|       4 |         196 |       00:01:07 |         0.08 |         0.03 |       0.0035 |       0.0006 |          0.0100 |
|       4 |         200 |       00:01:08 |         0.08 |              |       0.0033 |              |          0.0100 |
|       4 |         210 |       00:01:12 |         0.14 |         0.06 |       0.0104 |       0.0015 |          0.0100 |
|       4 |         224 |       00:01:17 |         0.09 |         0.05 |       0.0041 |       0.0014 |          0.0100 |
|       5 |         238 |       00:01:22 |         0.11 |         0.04 |       0.0062 |       0.0006 |          0.0100 |
|       5 |         250 |       00:01:26 |         0.10 |              |       0.0047 |              |          0.0100 |
|       5 |         252 |       00:01:27 |         0.08 |         0.06 |       0.0031 |       0.0015 |          0.0100 |
|       5 |         266 |       00:01:31 |         0.08 |         0.04 |       0.0034 |       0.0007 |          0.0100 |
|       5 |         280 |       00:01:36 |         0.10 |         0.04 |       0.0052 |       0.0006 |          0.0100 |
|       6 |         294 |       00:01:41 |         0.08 |         0.04 |       0.0033 |       0.0008 |          0.0100 |
|       6 |         300 |       00:01:43 |         0.09 |              |       0.0038 |              |          0.0100 |
|       6 |         308 |       00:01:46 |         0.07 |         0.04 |       0.0027 |       0.0007 |          0.0100 |
|       6 |         322 |       00:01:51 |         0.08 |         0.07 |       0.0029 |       0.0024 |          0.0100 |
|       6 |         336 |       00:01:56 |         0.08 |         0.04 |       0.0029 |       0.0007 |          0.0100 |
|       7 |         350 |       00:02:00 |         0.06 |         0.01 |       0.0021 |       0.0001 |          0.0010 |
|       7 |         364 |       00:02:05 |         0.07 |         0.01 |       0.0021 |   7.2126e-05 |          0.0010 |
|       7 |         378 |       00:02:10 |         0.07 |     9.76e-03 |       0.0022 |   4.7596e-05 |          0.0010 |
|       7 |         392 |       00:02:15 |         0.07 |     9.57e-03 |       0.0021 |   4.5802e-05 |          0.0010 |
|       8 |         400 |       00:02:17 |         0.07 |              |       0.0021 |              |          0.0010 |
|       8 |         406 |       00:02:19 |         0.07 |         0.01 |       0.0023 |   5.8664e-05 |          0.0010 |
|       8 |         420 |       00:02:24 |         0.06 |         0.01 |       0.0020 |   6.7122e-05 |          0.0010 |
