
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , single amp , ini learningRate = 1.000000e-02 , min batch size = 200 , DropPeriod = 12 , DropFactor = 0.100000  v3 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |         0.11 |         0.16 |       0.0056 |       0.0129 |          0.0100 |
|       1 |           4 |       00:00:02 |         0.07 |         0.06 |       0.0024 |       0.0017 |          0.0100 |
|       2 |           8 |       00:00:03 |         0.05 |         0.05 |       0.0013 |       0.0012 |          0.0100 |
|       3 |          12 |       00:00:04 |         0.04 |         0.03 |       0.0006 |       0.0005 |          0.0100 |
|       4 |          16 |       00:00:04 |         0.03 |         0.03 |       0.0004 |       0.0003 |          0.0100 |
|       5 |          20 |       00:00:05 |         0.02 |         0.02 |       0.0002 |       0.0002 |          0.0100 |
|       6 |          24 |       00:00:06 |         0.02 |         0.02 |       0.0002 |       0.0001 |          0.0100 |
|       7 |          28 |       00:00:06 |         0.02 |         0.02 |       0.0001 |       0.0001 |          0.0100 |
|       8 |          32 |       00:00:07 |         0.01 |         0.01 |   8.2877e-05 |       0.0001 |          0.0100 |
|       9 |          36 |       00:00:08 |         0.01 |         0.01 |       0.0001 |   8.6271e-05 |          0.0100 |
|      10 |          40 |       00:00:08 |         0.01 |         0.01 |   6.8710e-05 |   8.4830e-05 |          0.0100 |
|      11 |          44 |       00:00:09 |         0.01 |         0.01 |   8.6805e-05 |   6.3311e-05 |          0.0100 |
|      12 |          48 |       00:00:10 |         0.01 |         0.01 |   5.9296e-05 |   7.2221e-05 |          0.0100 |
|      13 |          50 |       00:00:10 |         0.01 |              |   7.2087e-05 |              |          0.0010 |
|      13 |          52 |       00:00:10 |         0.01 |     9.86e-03 |   5.5138e-05 |   4.8580e-05 |          0.0010 |
|      14 |          56 |       00:00:11 |         0.01 |         0.01 |   5.9320e-05 |   5.5335e-05 |          0.0010 |
