
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 5 , DropFactor = 0.100000 
>> Hidden Units = 60 , v5 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      10 |         546 |       00:03:30 |         0.06 |     8.15e-03 |       0.0019 |   3.3198e-05 |          0.0010 |
|      10 |         550 |       00:03:32 |         0.06 |              |       0.0020 |              |          0.0010 |
|      10 |         560 |       00:03:36 |         0.06 |     8.80e-03 |       0.0019 |   3.8749e-05 |          0.0010 |
|      11 |         574 |       00:03:41 |         0.06 |     8.66e-03 |       0.0020 |   3.7490e-05 |      1.0000e-04 |
|      11 |         588 |       00:03:46 |         0.06 |     8.10e-03 |       0.0021 |   3.2813e-05 |      1.0000e-04 |
|      11 |         600 |       00:03:51 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      11 |         602 |       00:03:52 |         0.06 |     8.33e-03 |       0.0020 |   3.4689e-05 |      1.0000e-04 |
|      11 |         616 |       00:03:57 |         0.06 |     8.40e-03 |       0.0018 |   3.5313e-05 |      1.0000e-04 |
|      12 |         630 |       00:04:02 |         0.06 |     8.19e-03 |       0.0020 |   3.3555e-05 |      1.0000e-04 |
|      12 |         644 |       00:04:07 |         0.06 |     8.10e-03 |       0.0018 |   3.2768e-05 |      1.0000e-04 |
|      12 |         650 |       00:04:10 |         0.06 |              |       0.0021 |              |      1.0000e-04 |
|      12 |         658 |       00:04:13 |         0.06 |     8.29e-03 |       0.0019 |   3.4365e-05 |      1.0000e-04 |
|      12 |         672 |       00:04:18 |         0.06 |     8.34e-03 |       0.0019 |   3.4786e-05 |      1.0000e-04 |
|      13 |         686 |       00:04:23 |         0.06 |     8.12e-03 |       0.0019 |   3.2959e-05 |      1.0000e-04 |
|      13 |         700 |       00:04:29 |         0.06 |     8.19e-03 |       0.0019 |   3.3542e-05 |      1.0000e-04 |
|      13 |         714 |       00:04:34 |         0.06 |     8.14e-03 |       0.0020 |   3.3091e-05 |      1.0000e-04 |
|      13 |         728 |       00:04:39 |         0.06 |     8.10e-03 |       0.0019 |   3.2773e-05 |      1.0000e-04 |
|      14 |         742 |       00:04:45 |         0.06 |     8.34e-03 |       0.0019 |   3.4779e-05 |      1.0000e-04 |
|      14 |         750 |       00:04:48 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      14 |         756 |       00:04:50 |         0.06 |     8.03e-03 |       0.0018 |   3.2280e-05 |      1.0000e-04 |
|      14 |         770 |       00:04:55 |         0.06 |     8.25e-03 |       0.0019 |   3.4016e-05 |      1.0000e-04 |
|      14 |         784 |       00:05:01 |         0.06 |     8.16e-03 |       0.0018 |   3.3293e-05 |      1.0000e-04 |
|      15 |         798 |       00:05:06 |         0.06 |     8.05e-03 |       0.0019 |   3.2377e-05 |      1.0000e-04 |
|      15 |         800 |       00:05:07 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      15 |         812 |       00:05:11 |         0.06 |     8.23e-03 |       0.0017 |   3.3868e-05 |      1.0000e-04 |
|      15 |         826 |       00:05:17 |         0.06 |     8.26e-03 |       0.0019 |   3.4152e-05 |      1.0000e-04 |
|      15 |         840 |       00:05:22 |         0.06 |     8.26e-03 |       0.0020 |   3.4149e-05 |      1.0000e-04 |
|      16 |         850 |       00:05:26 |         0.06 |              |       0.0018 |              |      1.0000e-05 |
|      16 |         854 |       00:05:28 |         0.06 |     8.21e-03 |       0.0017 |   3.3706e-05 |      1.0000e-05 |
|      16 |         868 |       00:05:33 |         0.06 |     8.19e-03 |       0.0018 |   3.3518e-05 |      1.0000e-05 |
|      16 |         882 |       00:05:38 |         0.06 |     8.16e-03 |       0.0020 |   3.3327e-05 |      1.0000e-05 |
|      16 |         896 |       00:05:44 |         0.06 |     8.12e-03 |       0.0019 |   3.2987e-05 |      1.0000e-05 |
|      17 |         900 |       00:05:45 |         0.06 |              |       0.0020 |              |      1.0000e-05 |
|      17 |         910 |       00:05:49 |         0.06 |     8.15e-03 |       0.0019 |   3.3247e-05 |      1.0000e-05 |
|      17 |         924 |       00:05:54 |         0.06 |     8.16e-03 |       0.0019 |   3.3259e-05 |      1.0000e-05 |
|      17 |         938 |       00:05:59 |         0.06 |     8.09e-03 |       0.0017 |   3.2696e-05 |      1.0000e-05 |
|      17 |         950 |       00:06:04 |         0.06 |              |       0.0019 |              |      1.0000e-05 |
|      17 |         952 |       00:06:05 |         0.06 |     8.15e-03 |       0.0021 |   3.3197e-05 |      1.0000e-05 |
|      18 |         966 |       00:06:10 |         0.06 |     8.24e-03 |       0.0019 |   3.3929e-05 |      1.0000e-05 |
|      18 |         980 |       00:06:15 |         0.06 |     8.21e-03 |       0.0020 |   3.3704e-05 |      1.0000e-05 |
|      18 |         994 |       00:06:21 |         0.06 |     8.15e-03 |       0.0021 |   3.3176e-05 |      1.0000e-05 |
